iter	RMSE
0	1613.862274
1	1536.208448
2	1467.320827
3	1409.058855
4	1356.004614
5	1311.675366
6	1275.413377
7	1242.802657
8	1215.284621
9	1191.924084
10	1172.634506
11	1157.754608
12	1144.495256
13	1133.013399
14	1123.898642
15	1116.223612
16	1109.525116
17	1104.734115
18	1100.206275
19	1095.749928
20	1091.608636
21	1088.402157
22	1085.940083
23	1082.941379
24	1080.459169
25	1078.860113
26	1076.982115
27	1075.306568
28	1073.0667
29	1071.505034
30	1070.405117
31	1068.993083
32	1067.894929
33	1066.609963
34	1065.822027
35	1065.137423
36	1063.852439
37	1062.399688
38	1061.394375
39	1060.478266
40	1059.216391
41	1058.177334
42	1058.004673
43	1057.173267
44	1056.647461
45	1056.013507
46	1055.52119
47	1054.969485
48	1054.300705
49	1053.103743
50	1052.405579
51	1051.6244
52	1051.014722
53	1050.121309
54	1049.143412
55	1049.098664
56	1048.300066
57	1047.832135
58	1047.000433
59	1046.303704
60	1044.863103
61	1044.305104
62	1043.182766
63	1042.100227
64	1041.346969
65	1040.686347
66	1040.483307
67	1039.994838
68	1039.270637
69	1038.999779
70	1038.281591
71	1037.165
72	1036.667613
73	1035.715187
74	1034.857239
75	1034.477214
76	1033.700176
77	1032.988977
78	1032.958569
79	1031.684136
80	1031.111326
81	1030.14948
82	1029.596613
83	1028.989257
84	1028.317253
85	1027.39575
86	1026.573016
87	1025.822263
88	1025.448638
89	1024.22394
90	1023.103857
91	1022.445704
92	1021.463314
93	1020.46146
94	1019.780185
95	1019.146849
96	1018.027709
97	1017.151076
98	1016.506484
99	1015.717443
