iter	Passed	Remaining
0	2	224
1	4	209
2	6	210
3	8	206
4	11	209
5	13	209
6	15	207
7	17	204
8	19	202
9	22	200
10	24	198
11	27	199
12	29	197
13	31	194
14	33	191
15	35	188
16	37	185
17	39	182
18	42	179
19	44	178
20	46	175
21	48	172
22	50	169
23	54	171
24	56	169
25	58	167
26	60	164
27	62	161
28	64	158
29	66	154
30	68	151
31	70	148
32	71	146
33	73	143
34	75	140
35	77	138
36	79	135
37	82	133
38	84	131
39	85	128
40	87	126
41	90	124
42	91	121
43	93	119
44	95	117
45	98	115
46	100	112
47	101	110
48	103	107
49	105	105
50	107	103
51	109	101
52	111	98
53	113	96
54	115	94
55	116	91
56	118	89
57	120	87
58	122	85
59	124	83
60	126	80
61	128	78
62	130	76
63	132	74
64	134	72
65	136	70
66	138	68
67	141	66
68	143	64
69	145	62
70	147	60
71	149	58
72	151	55
73	154	54
74	156	52
75	158	49
76	160	47
77	162	45
78	163	43
79	165	41
80	167	39
81	170	37
82	172	35
83	174	33
84	176	31
85	178	29
86	180	26
87	182	24
88	185	22
89	187	20
90	189	18
91	190	16
92	193	14
93	195	12
94	197	10
95	199	8
96	202	6
97	204	4
98	205	2
99	215	0
